(-0.456652876507227, -1.99968255961363)
(-0.456652876507227, -1.89968255961363)
(-0.456652876507227, -1.7996825596136299)
(-0.456652876507227, -1.6996825596136298)
(-0.456652876507227, -1.5996825596136297)
(-0.456652876507227, -1.4996825596136296)
(-0.456652876507227, -1.3996825596136295)
(-0.456652876507227, -1.2996825596136294)
(-0.456652876507227, -1.1996825596136294)
(-0.456652876507227, -1.0996825596136293)
(-0.456652876507227, -0.9996825596136293)
(-0.456652876507227, -0.8996825596136293)
(-0.456652876507227, -0.7996825596136293)
(-0.456652876507227, -0.6996825596136294)
(-0.456652876507227, -0.5996825596136294)
(-0.456652876507227, -0.4996825596136294)
(-0.5566528765072271, -0.3996825596136294)
(-0.5566528765072271, -0.29968255961362944)
(-0.5566528765072271, -0.19968255961362943)
(-0.656652876507227, -0.09968255961362943)
(-0.656652876507227, 0.0003174403863705766)
(-0.756652876507227, 0.10031744038637058)
(-0.756652876507227, 0.2003174403863706)
(-0.756652876507227, 0.3003174403863706)
(-0.756652876507227, 0.4003174403863706)
(-0.856652876507227, 0.5003174403863706)
(-0.956652876507227, 0.6003174403863706)
(-0.956652876507227, 0.7003174403863706)
(-0.856652876507227, 0.6003174403863706)
(-0.756652876507227, 0.5003174403863706)
(-0.656652876507227, 0.4003174403863706)
(-0.5566528765072271, 0.30031744038637065)
(-0.4566528765072271, 0.20031744038637064)
(-0.3566528765072271, 0.20031744038637064)
(-0.2566528765072271, 0.10031744038637064)
(-0.15665287650722712, 0.0003174403863706321)
(-0.05665287650722711, -0.09968255961362937)
(0.04334712349277289, -0.19968255961362938)
(0.1433471234927729, -0.2996825596136294)
(0.2433471234927729, -0.3996825596136294)
(0.3433471234927729, -0.4996825596136294)
(0.44334712349277294, -0.5996825596136294)
(0.5433471234927729, -0.6996825596136294)
(0.6433471234927729, -0.5996825596136294)
(0.7433471234927729, -0.5996825596136294)
(0.8433471234927729, -0.4996825596136294)
(0.9433471234927728, -0.4996825596136294)
(1.043347123492773, -0.3996825596136294)
(1.043347123492773, -0.29968255961362944)
(1.043347123492773, -0.19968255961362943)
(1.043347123492773, -0.09968255961362943)
(1.143347123492773, 0.0003174403863705766)
(1.143347123492773, 0.10031744038637058)
(1.043347123492773, 0.2003174403863706)
(1.043347123492773, 0.3003174403863706)
(0.9433471234927729, 0.4003174403863706)
(0.843347123492773, 0.4003174403863706)
(0.743347123492773, 0.4003174403863706)
(0.643347123492773, 0.4003174403863706)
(0.543347123492773, 0.4003174403863706)
(0.44334712349277305, 0.4003174403863706)
(0.3433471234927731, 0.4003174403863706)
(0.24334712349277307, 0.30031744038637065)
(0.14334712349277307, 0.30031744038637065)
(0.04334712349277306, 0.30031744038637065)
(-0.056652876507226946, 0.20031744038637064)
(-0.15665287650722695, 0.20031744038637064)
(-0.25665287650722696, 0.20031744038637064)
(-0.356652876507227, 0.10031744038637064)
(-0.45665287650722697, 0.0003174403863706321)
(-0.556652876507227, 0.0003174403863706321)
(-0.6566528765072269, -0.09968255961362937)
(-0.7566528765072269, -0.09968255961362937)
(-0.8566528765072269, -0.09968255961362937)
(-0.9566528765072269, -0.09968255961362937)
(-1.056652876507227, -0.09968255961362937)
(-1.156652876507227, -0.09968255961362937)
(-1.2566528765072271, -0.19968255961362938)
(-1.3566528765072272, -0.2996825596136294)
(-1.4566528765072273, -0.2996825596136294)
(-1.5566528765072274, -0.19968255961362938)
(-1.6566528765072275, -0.19968255961362938)
