(-2.46190001765768, -0.122421496970765)
(-2.36190001765768, -0.122421496970765)
(-2.26190001765768, -0.122421496970765)
(-2.16190001765768, -0.122421496970765)
(-2.06190001765768, -0.122421496970765)
(-1.9619000176576797, -0.122421496970765)
(-1.8619000176576797, -0.122421496970765)
(-1.7619000176576796, -0.122421496970765)
(-1.6619000176576795, -0.122421496970765)
(-1.5619000176576794, -0.122421496970765)
(-1.4619000176576793, -0.22242149697076502)
(-1.3619000176576792, -0.32242149697076505)
(-1.2619000176576791, -0.32242149697076505)
(-1.161900017657679, -0.22242149697076505)
(-1.061900017657679, -0.12242149697076504)
(-0.961900017657679, -0.12242149697076504)
(-0.861900017657679, -0.12242149697076504)
(-0.761900017657679, -0.12242149697076504)
(-0.661900017657679, -0.022421496970765037)
(-0.561900017657679, -0.022421496970765037)
(-0.4619000176576791, -0.022421496970765037)
(-0.3619000176576791, 0.07757850302923497)
(-0.2619000176576791, 0.17757850302923497)
(-0.1619000176576791, 0.17757850302923497)
(-0.06190001765767911, 0.17757850302923497)
(0.0380999823423209, 0.277578503029235)
(0.1380999823423209, 0.377578503029235)
(0.2380999823423209, 0.377578503029235)
(0.3380999823423209, 0.377578503029235)
(0.43809998234232095, 0.377578503029235)
(0.5380999823423209, 0.377578503029235)
(0.6380999823423209, 0.377578503029235)
(0.7380999823423209, 0.377578503029235)
(0.8380999823423209, 0.477578503029235)
(0.8380999823423209, 0.377578503029235)
(0.9380999823423208, 0.27757850302923504)
(0.9380999823423208, 0.17757850302923503)
(1.038099982342321, 0.07757850302923502)
(1.138099982342321, -0.02242149697076498)
(1.138099982342321, -0.12242149697076499)
(1.138099982342321, -0.222421496970765)
(1.138099982342321, -0.322421496970765)
(1.038099982342321, -0.42242149697076503)
(0.938099982342321, -0.42242149697076503)
(0.838099982342321, -0.42242149697076503)
(0.738099982342321, -0.42242149697076503)
(0.638099982342321, -0.522421496970765)
(0.538099982342321, -0.622421496970765)
(0.43809998234232106, -0.522421496970765)
(0.3380999823423211, -0.42242149697076503)
(0.23809998234232108, -0.32242149697076505)
(0.13809998234232107, -0.22242149697076505)
(0.038099982342321065, -0.12242149697076504)
(-0.06190001765767894, -0.022421496970765037)
(-0.16190001765767895, 0.07757850302923497)
(-0.26190001765767895, 0.17757850302923497)
(-0.361900017657679, 0.277578503029235)
(-0.46190001765767896, 0.377578503029235)
(-0.5619000176576789, 0.477578503029235)
(-0.6619000176576789, 0.577578503029235)
(-0.7619000176576789, 0.577578503029235)
(-0.8619000176576789, 0.677578503029235)
(-0.9619000176576789, 0.677578503029235)
